machine_id,gpu,date,batch_size_in_bits,keys_per_work_item,candidates_per_second,addresses_checked_per_second,seconds_per_arm,warmup_seconds,verification_micros_measured,winner,kernel
coreultra7155h-95g-win11,NVIDIA RTX 500 Ada Generation Laptop GPU,2026-07-25,24,16,36909497.80,575372.82,20,5,10.69,,inline
coreultra7155h-95g-win11,NVIDIA RTX 500 Ada Generation Laptop GPU,2026-07-25,24,64,64548071.33,1006943.92,20,5,10.69,,inline
coreultra7155h-95g-win11,NVIDIA RTX 500 Ada Generation Laptop GPU,2026-07-25,24,256,92229744.45,1438435.65,20,5,10.69,,inline
coreultra7155h-95g-win11,NVIDIA RTX 500 Ada Generation Laptop GPU,2026-07-25,24,512,102328141.14,1595440.14,20,5,10.69,,inline
coreultra7155h-95g-win11,NVIDIA RTX 500 Ada Generation Laptop GPU,2026-07-25,24,1024,109019715.38,1686160.95,20,5,10.69,,inline
coreultra7155h-95g-win11,NVIDIA RTX 500 Ada Generation Laptop GPU,2026-07-25,24,2048,110725506.61,1727398.44,20,5,10.69,yes,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,18,16,1690762.00,26439.16,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,18,64,6002819.46,93589.66,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,18,256,9450225.43,147409.07,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,18,512,6461460.81,100610.65,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,18,1024,3997466.89,62142.69,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,18,2048,2424781.43,37786.61,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,19,16,1677707.14,26124.57,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,19,64,5871866.00,91443.61,20,5,10.11,,inline
