machine_id,gpu,date,batch_size_in_bits,keys_per_work_item,candidates_per_second,addresses_checked_per_second,seconds_per_arm,warmup_seconds,verification_micros_measured,winner,kernel
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,19,16,1493878.81,23300.27,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,19,64,3170067.12,49447.65,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,19,256,4089207.41,63722.28,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,20,1,104838.91,1635.41,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,20,4,419403.82,6518.79,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,20,16,1467744.58,22819.83,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,20,64,3355034.93,52308.53,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,20,256,4191348.66,65260.38,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,21,1,104850.89,1649.69,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,21,4,419295.44,6538.20,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,21,16,1572548.78,24522.38,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,21,64,3458064.71,53972.10,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,21,256,4401033.74,68697.80,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,22,1,0,0,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,22,4,419219.20,6509.62,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,22,16,1467626.42,22867.98,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,22,64,3354518.61,52278.29,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,22,256,4401602.54,68648.51,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,23,1,0,0,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,23,4,419331.27,6502.96,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,23,16,1677317.28,26168.09,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,23,64,3355415.03,52433.06,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,23,256,4613641.39,72001.95,20,5,6.60,yes,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,24,1,0,0,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,24,4,0,0,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,24,16,1676556.46,26133.04,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,24,64,3354668.76,52204.15,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,24,256,4191667.48,65292.43,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1036,2026-07-26,23,512,4613358.53,71958.54,20,5,6.60,,out-of-line
